clip,component,split
NonSignalizedJunctionLeftTurnEnterFlow_Town15_Route460_Weather18,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town15_Route499_Weather5,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town15_Route512_Weather18,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town15_Route532_Weather12,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town15_Route533_Weather13,base,train
NonSignalizedJunctionLeftTurnEnterFlow_Town15_Route537_Weather9,base,train
NonSignalizedJunctionLeftTurn_Town03_Route122_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town03_Route123_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town03_Route124_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town03_Route153_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town04_Route181_Weather15,base,train
NonSignalizedJunctionLeftTurn_Town04_Route182_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town04_Route183_Weather1,base,train
NonSignalizedJunctionLeftTurn_Town04_Route212_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town05_Route238_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town05_Route239_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town05_Route240_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town07_Route344_Weather6,base,train
NonSignalizedJunctionLeftTurn_Town07_Route369_Weather18,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1350_Weather0,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1351_Weather1,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1352_Weather2,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1353_Weather3,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1355_Weather6,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1356_Weather7,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1357_Weather10,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1358_Weather11,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1359_Weather12,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1361_Weather14,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1362_Weather15,base,train
NonSignalizedJunctionLeftTurn_Town12_Route1363_Weather8,base,train
NonSignalizedJunctionLeftTurn_Town12_Route810_Weather10,base,train
NonSignalizedJunctionLeftTurn_Town12_Route812_Weather12,base,train
NonSignalizedJunctionLeftTurn_Town12_Route813_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town12_Route930_Weather20,base,train
NonSignalizedJunctionLeftTurn_Town12_Route966_Weather3,base,train
NonSignalizedJunctionLeftTurn_Town13_Route592_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town13_Route593_Weather26,base,train
NonSignalizedJunctionLeftTurn_Town13_Route594_Weather26,base,train
NonSignalizedJunctionRightTurn_Town03_Route126_Weather18,base,val
NonSignalizedJunctionRightTurn_Town04_Route184_Weather2,base,train
NonSignalizedJunctionRightTurn_Town04_Route185_Weather9,base,train
NonSignalizedJunctionRightTurn_Town07_Route345_Weather14,base,train
NonSignalizedJunctionRightTurn_Town07_Route346_Weather15,base,train
NonSignalizedJunctionRightTurn_Town12_Route1024_Weather10,base,train
NonSignalizedJunctionRightTurn_Town12_Route815_Weather9,base,train
NonSignalizedJunctionRightTurn_Town12_Route816_Weather15,base,train
NonSignalizedJunctionRightTurn_Town12_Route817_Weather11,base,train
NonSignalizedJunctionRightTurn_Town12_Route931_Weather21,base,train
NonSignalizedJunctionRightTurn_Town12_Route967_Weather25,base,train
NonSignalizedJunctionRightTurn_Town13_Route595_Weather11,base,train
NonSignalizedJunctionRightTurn_Town13_Route596_Weather23,base,train
NonSignalizedJunctionRightTurn_Town13_Route598_Weather0,base,train
OppositeVehicleRunningRedLight_Town03_Route119_Weather12,base,train
OppositeVehicleRunningRedLight_Town03_Route120_Weather8,base,train
OppositeVehicleRunningRedLight_Town03_Route121_Weather13,base,train
OppositeVehicleRunningRedLight_Town03_Route152_Weather22,base,train
OppositeVehicleRunningRedLight_Town04_Route178_Weather22,base,train
OppositeVehicleRunningRedLight_Town04_Route179_Weather14,base,train
OppositeVehicleRunningRedLight_Town04_Route180_Weather23,base,val
OppositeVehicleRunningRedLight_Town05_Route235_Weather1,base,train
OppositeVehicleRunningRedLight_Town05_Route236_Weather10,base,train
OppositeVehicleRunningRedLight_Town05_Route268_Weather8,base,train
OppositeVehicleRunningRedLight_Town07_Route368_Weather3,base,train
OppositeVehicleRunningRedLight_Town12_Route807_Weather1,base,train
OppositeVehicleRunningRedLight_Town12_Route809_Weather3,base,train
OppositeVehicleRunningRedLight_Town12_Route929_Weather19,base,train
OppositeVehicleRunningRedLight_Town12_Route990_Weather2,base,train
OppositeVehicleRunningRedLight_Town12_Route991_Weather3,base,train
OppositeVehicleRunningRedLight_Town13_Route587_Weather15,base,train
OppositeVehicleRunningRedLight_Town13_Route588_Weather8,base,train
OppositeVehicleRunningRedLight_Town13_Route590_Weather18,base,train
OppositeVehicleRunningRedLight_Town15_Route440_Weather23,base,train
OppositeVehicleRunningRedLight_Town15_Route475_Weather7,base,train
OppositeVehicleTakingPriority_Town03_Route128_Weather23,base,train
OppositeVehicleTakingPriority_Town03_Route155_Weather25,base,train
OppositeVehicleTakingPriority_Town04_Route187_Weather5,base,train
OppositeVehicleTakingPriority_Town04_Route188_Weather6,base,train
OppositeVehicleTakingPriority_Town04_Route189_Weather7,base,train
OppositeVehicleTakingPriority_Town04_Route214_Weather6,base,val
OppositeVehicleTakingPriority_Town05_Route241_Weather7,base,train
OppositeVehicleTakingPriority_Town05_Route242_Weather15,base,train
OppositeVehicleTakingPriority_Town05_Route243_Weather9,base,train
OppositeVehicleTakingPriority_Town05_Route270_Weather6,base,train
OppositeVehicleTakingPriority_Town12_Route1025_Weather11,base,train
OppositeVehicleTakingPriority_Town12_Route1038_Weather23,base,train
OppositeVehicleTakingPriority_Town12_Route818_Weather12,base,train
OppositeVehicleTakingPriority_Town12_Route820_Weather14,base,train
OppositeVehicleTakingPriority_Town12_Route932_Weather22,base,train
OppositeVehicleTakingPriority_Town12_Route968_Weather6,base,train
OppositeVehicleTakingPriority_Town12_Route994_Weather6,base,train
OppositeVehicleTakingPriority_Town12_Route995_Weather7,base,train
OppositeVehicleTakingPriority_Town13_Route600_Weather2,base,train
OppositeVehicleTakingPriority_Town13_Route601_Weather3,base,train
OppositeVehicleTakingPriority_Town15_Route477_Weather9,base,train
ParkedObstacleTwoWays_Town12_Route1158_Weather14,base,train
ParkedObstacleTwoWays_Town12_Route1159_Weather23,base,train
ParkedObstacleTwoWays_Town12_Route1161_Weather9,base,train
ParkedObstacleTwoWays_Town12_Route1163_Weather19,base,train
ParkedObstacleTwoWays_Town12_Route1164_Weather20,base,train
ParkedObstacleTwoWays_Town12_Route1165_Weather21,base,train
ParkedObstacleTwoWays_Town12_Route1166_Weather22,base,train
ParkedObstacleTwoWays_Town12_Route1167_Weather23,base,train
ParkedObstacleTwoWays_Town12_Route1168_Weather23,base,train
ParkedObstacleTwoWays_Town12_Route1169_Weather25,base,train
ParkedObstacleTwoWays_Town12_Route1171_Weather1,base,train
ParkedObstacleTwoWays_Town12_Route1172_Weather2,base,train
ParkedObstacleTwoWays_Town12_Route1173_Weather3,base,train
ParkedObstacleTwoWays_Town12_Route1174_Weather3,base,train
ParkedObstacleTwoWays_Town12_Route1175_Weather5,base,train
ParkedObstacleTwoWays_Town12_Route1178_Weather8,base,train
ParkedObstacleTwoWays_Town12_Route1181_Weather11,base,train
ParkedObstacleTwoWays_Town12_Route1182_Weather12,base,train
ParkedObstacleTwoWays_Town12_Route1183_Weather7,base,train
ParkedObstacleTwoWays_Town13_Route1333_Weather26,base,val
ParkedObstacleTwoWays_Town13_Route1334_Weather26,base,train
ParkedObstacleTwoWays_Town13_Route1335_Weather26,base,train
ParkedObstacleTwoWays_Town13_Route1336_Weather26,base,train
ParkedObstacle_Town03_Route103_Weather25,base,train
ParkedObstacle_Town03_Route147_Weather0,base,train
ParkedObstacle_Town03_Route157_Weather1,base,train
ParkedObstacle_Town04_Route162_Weather6,base,train
ParkedObstacle_Town05_Route220_Weather12,base,train
ParkedObstacle_Town05_Route221_Weather13,base,train
ParkedObstacle_Town05_Route262_Weather1,base,train
ParkedObstacle_Town05_Route273_Weather7,base,train
ParkedObstacle_Town06_Route281_Weather21,base,train
ParkedObstacle_Town06_Route282_Weather22,base,val
ParkedObstacle_Town06_Route309_Weather23,base,train
ParkedObstacle_Town06_Route328_Weather8,base,train
ParkedObstacle_Town10HD_Route371_Weather7,base,train
ParkedObstacle_Town10HD_Route372_Weather8,base,val
ParkedObstacle_Town11_Route395_Weather5,base,train
ParkedObstacle_Town12_Route770_Weather8,base,train
ParkedObstacle_Town12_Route771_Weather9,base,train
ParkedObstacle_Town12_Route772_Weather11,base,train
ParkedObstacle_Town12_Route773_Weather19,base,train
ParkedObstacle_Town12_Route958_Weather22,base,train
ParkedObstacle_Town12_Route959_Weather23,base,train
ParkedObstacle_Town13_Route553_Weather11,base,train
ParkedObstacle_Town13_Route554_Weather12,base,train
ParkedObstacle_Town13_Route555_Weather9,base,train
ParkedObstacle_Town13_Route556_Weather10,base,train
ParkedObstacle_Town15_Route415_Weather25,base,train
ParkedObstacle_Town15_Route417_Weather1,base,train
ParkedObstacle_Town15_Route418_Weather2,base,train
ParkingCrossingPedestrian_Town12_Route758_Weather3,base,train
ParkingCrossingPedestrian_Town12_Route759_Weather5,base,train
ParkingCrossingPedestrian_Town12_Route760_Weather6,base,train
ParkingCrossingPedestrian_Town12_Route761_Weather7,base,train
ParkingCrossingPedestrian_Town12_Route896_Weather12,base,train
ParkingCrossingPedestrian_Town12_Route897_Weather13,base,train
ParkingCrossingPedestrian_Town12_Route898_Weather14,base,train
ParkingCrossingPedestrian_Town12_Route899_Weather15,base,train
ParkingCrossingPedestrian_Town12_Route952_Weather8,base,train
ParkingCrossingPedestrian_Town12_Route953_Weather9,base,train
ParkingCrossingPedestrian_Town13_Route545_Weather25,base,val
ParkingCrossingPedestrian_Town13_Route668_Weather18,base,train
ParkingCrossingPedestrian_Town13_Route669_Weather19,base,train
ParkingCrossingPedestrian_Town13_Route727_Weather25,base,train
ParkingCrossingPedestrian_Town13_Route728_Weather0,base,train
ParkingCrossingPedestrian_Town15_Route403_Weather13,base,train
ParkingCrossingPedestrian_Town15_Route405_Weather15,base,train
ParkingCrossingPedestrian_Town15_Route462_Weather20,base,train
ParkingCrossingPedestrian_Town15_Route513_Weather19,base,train
ParkingCrossingPedestrian_Town15_Route514_Weather0,base,train
ParkingCutIn_Town12_Route1300_Weather13,base,train
ParkingCutIn_Town12_Route1301_Weather14,base,train
ParkingCutIn_Town12_Route1302_Weather15,base,train
ParkingCutIn_Town12_Route1303_Weather8,base,train
ParkingCutIn_Town12_Route1304_Weather9,base,train
ParkingCutIn_Town12_Route1310_Weather0,base,train
ParkingCutIn_Town12_Route1311_Weather1,base,train
ParkingCutIn_Town12_Route1312_Weather2,base,train
ParkingCutIn_Town12_Route1313_Weather3,base,train
ParkingCutIn_Town12_Route1314_Weather5,base,train
ParkingCutIn_Town12_Route1315_Weather6,base,train
ParkingCutIn_Town12_Route762_Weather8,base,train
ParkingCutIn_Town12_Route763_Weather9,base,train
ParkingCutIn_Town12_Route764_Weather10,base,train
ParkingCutIn_Town12_Route765_Weather11,base,train
ParkingCutIn_Town12_Route900_Weather19,base,train
ParkingCutIn_Town12_Route901_Weather9,base,train
ParkingCutIn_Town12_Route902_Weather18,base,train
ParkingCutIn_Town12_Route903_Weather20,base,train
ParkingCutIn_Town12_Route954_Weather18,base,train
ParkingCutIn_Town12_Route955_Weather19,base,train
ParkingCutIn_Town13_Route1342_Weather0,base,train
ParkingCutIn_Town13_Route1343_Weather1,base,val
ParkingCutIn_Town13_Route1344_Weather2,base,train
ParkingCutIn_Town13_Route1345_Weather3,base,train
ParkingCutIn_Town13_Route1346_Weather5,base,train
ParkingCutIn_Town13_Route1347_Weather6,base,train
ParkingCutIn_Town13_Route1348_Weather7,base,train
ParkingCutIn_Town13_Route1349_Weather10,base,train
ParkingCutIn_Town13_Route546_Weather0,base,train
ParkingCutIn_Town13_Route547_Weather1,base,train
ParkingCutIn_Town13_Route548_Weather2,base,train
ParkingCutIn_Town13_Route549_Weather3,base,train
ParkingCutIn_Town13_Route670_Weather20,base,train
ParkingCutIn_Town13_Route671_Weather21,base,train
ParkingCutIn_Town13_Route672_Weather22,base,train
ParkingCutIn_Town13_Route696_Weather20,base,train
ParkingCutIn_Town13_Route729_Weather1,base,train
ParkingExit_Town12_Route1305_Weather18,base,train
ParkingExit_Town12_Route1307_Weather20,base,train
ParkingExit_Town12_Route1308_Weather21,base,train
ParkingExit_Town12_Route1309_Weather22,base,train
ParkingExit_Town12_Route1316_Weather0,base,train
ParkingExit_Town12_Route1318_Weather2,base,train
ParkingExit_Town12_Route1319_Weather3,base,train
ParkingExit_Town12_Route1320_Weather5,base,train
ParkingExit_Town12_Route1321_Weather6,base,train
ParkingExit_Town12_Route1322_Weather7,base,train
ParkingExit_Town12_Route786_Weather6,base,train
ParkingExit_Town12_Route787_Weather7,base,train
ParkingExit_Town12_Route788_Weather8,base,train
ParkingExit_Town12_Route789_Weather9,base,train
ParkingExit_Town12_Route920_Weather10,base,train
ParkingExit_Town12_Route922_Weather12,base,val
ParkingExit_Town12_Route923_Weather13,base,train
ParkingExit_Town13_Route567_Weather21,base,train
ParkingExit_Town13_Route568_Weather22,base,train
ParkingExit_Town13_Route569_Weather23,base,train
ParkingExit_Town13_Route570_Weather23,base,train
ParkingExit_Town13_Route676_Weather0,base,train
ParkingExit_Town13_Route677_Weather1,base,train
ParkingExit_Town13_Route678_Weather2,base,train
ParkingExit_Town13_Route697_Weather21,base,train
ParkingExit_Town13_Route731_Weather3,base,train
ParkingExit_Town13_Route732_Weather3,base,train
PedestrianCrossing_Town12_Route1013_Weather25,base,train
PedestrianCrossing_Town12_Route1014_Weather0,base,train
PedestrianCrossing_Town12_Route1033_Weather20,base,train
PedestrianCrossing_Town12_Route1045_Weather5,base,train
PedestrianCrossing_Town12_Route864_Weather6,base,train
PedestrianCrossing_Town12_Route865_Weather7,base,train
PedestrianCrossing_Town12_Route866_Weather8,base,train
PedestrianCrossing_Town12_Route867_Weather9,base,train
PedestrianCrossing_Town12_Route943_Weather7,base,train
PedestrianCrossing_Town13_Route636_Weather12,base,train
PedestrianCrossing_Town13_Route637_Weather13,base,train
PedestrianCrossing_Town13_Route638_Weather14,base,train
PedestrianCrossing_Town13_Route687_Weather11,base,train
PedestrianCrossing_Town13_Route716_Weather14,base,train
PedestrianCrossing_Town13_Route718_Weather8,base,train
PedestrianCrossing_Town13_Route736_Weather8,base,train
PedestrianCrossing_Town13_Route747_Weather19,base,val
PedestrianCrossing_Town15_Route448_Weather6,base,train
PedestrianCrossing_Town15_Route506_Weather12,base,train
PedestrianCrossing_Town15_Route526_Weather6,base,train
SignalizedJunctionLeftTurnEnterFlow_Town12_Route1019_Weather5,base,train
SignalizedJunctionLeftTurnEnterFlow_Town12_Route1020_Weather6,base,train
SignalizedJunctionLeftTurnEnterFlow_Town12_Route1034_Weather20,base,train
SignalizedJunctionLeftTurnEnterFlow_Town12_Route884_Weather0,base,train
SignalizedJunctionLeftTurnEnterFlow_Town12_Route885_Weather14,base,train
SignalizedJunctionLeftTurnEnterFlow_Town12_Route887_Weather3,base,train
SignalizedJunctionLeftTurnEnterFlow_Town12_Route948_Weather9,base,train
SignalizedJunctionLeftTurnEnterFlow_Town12_Route981_Weather19,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route1627_Weather3,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route1629_Weather6,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route1630_Weather7,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route1631_Weather10,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route1633_Weather12,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route1636_Weather15,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route657_Weather2,base,val
SignalizedJunctionLeftTurnEnterFlow_Town13_Route658_Weather8,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route659_Weather3,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route692_Weather8,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route719_Weather18,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route720_Weather19,base,train
SignalizedJunctionLeftTurnEnterFlow_Town13_Route721_Weather19,base,train
SignalizedJunctionLeftTurnEnterFlow_Town15_Route498_Weather23,base,train
SignalizedJunctionLeftTurnEnterFlow_Town15_Route511_Weather9,base,train
SignalizedJunctionLeftTurnEnterFlow_Town15_Route529_Weather9,base,train
SignalizedJunctionLeftTurnEnterFlow_Town15_Route531_Weather11,base,train
SignalizedJunctionLeftTurnEnterFlow_Town15_Route536_Weather8,base,train
SignalizedJunctionLeftTurn_Town03_Route113_Weather26,base,train
SignalizedJunctionLeftTurn_Town03_Route114_Weather6,base,train
SignalizedJunctionLeftTurn_Town03_Route150_Weather26,base,train
SignalizedJunctionLeftTurn_Town04_Route172_Weather8,base,train
SignalizedJunctionLeftTurn_Town04_Route173_Weather26,base,val
SignalizedJunctionLeftTurn_Town04_Route174_Weather18,base,train
SignalizedJunctionLeftTurn_Town05_Route232_Weather23,base,train
SignalizedJunctionLeftTurn_Town05_Route233_Weather6,base,train
SignalizedJunctionLeftTurn_Town05_Route234_Weather7,base,train
SignalizedJunctionLeftTurn_Town05_Route267_Weather3,base,train
SignalizedJunctionLeftTurn_Town07_Route334_Weather26,base,train
SignalizedJunctionLeftTurn_Town07_Route336_Weather23,base,train
SignalizedJunctionLeftTurn_Town07_Route366_Weather2,base,train
SignalizedJunctionLeftTurn_Town10HD_Route380_Weather21,base,train
SignalizedJunctionLeftTurn_Town10HD_Route381_Weather22,base,train
SignalizedJunctionLeftTurn_Town12_Route1470_Weather5,base,train
SignalizedJunctionLeftTurn_Town13_Route580_Weather26,base,train
SignalizedJunctionLeftTurn_Town13_Route581_Weather26,base,train
SignalizedJunctionLeftTurn_Town15_Route437_Weather26,base,train
SignalizedJunctionLeftTurn_Town15_Route471_Weather26,base,train
SignalizedJunctionRightTurn_Town03_Route118_Weather14,base,val
SignalizedJunctionRightTurn_Town04_Route176_Weather20,base,train
SignalizedJunctionRightTurn_Town04_Route177_Weather13,base,train
SignalizedJunctionRightTurn_Town04_Route211_Weather3,base,train
SignalizedJunctionRightTurn_Town07_Route338_Weather10,base,train
SignalizedJunctionRightTurn_Town07_Route339_Weather1,base,train
SignalizedJunctionRightTurn_Town12_Route803_Weather23,base,train
SignalizedJunctionRightTurn_Town12_Route804_Weather5,base,train
SignalizedJunctionRightTurn_Town12_Route805_Weather25,base,train
SignalizedJunctionRightTurn_Town12_Route964_Weather2,base,train
SignalizedJunctionRightTurn_Town12_Route988_Weather0,base,train
SignalizedJunctionRightTurn_Town13_Route583_Weather11,base,train
SignalizedJunctionRightTurn_Town15_Route438_Weather7,base,train
SignalizedJunctionRightTurn_Town15_Route473_Weather5,base,train
StaticCutIn_Town03_Route109_Weather1,base,train
StaticCutIn_Town03_Route110_Weather6,base,train
StaticCutIn_Town03_Route149_Weather19,base,train
StaticCutIn_Town03_Route158_Weather2,base,train
StaticCutIn_Town04_Route168_Weather12,base,train
StaticCutIn_Town04_Route208_Weather0,base,train
StaticCutIn_Town04_Route216_Weather8,base,train
StaticCutIn_Town05_Route226_Weather18,base,val
StaticCutIn_Town05_Route227_Weather2,base,train
StaticCutIn_Town05_Route265_Weather5,base,train
StaticCutIn_Town05_Route275_Weather15,base,train
StaticCutIn_Town06_Route287_Weather1,base,train
StaticCutIn_Town06_Route288_Weather2,base,train
StaticCutIn_Town12_Route782_Weather2,base,train
StaticCutIn_Town12_Route783_Weather3,base,train
StaticCutIn_Town12_Route785_Weather5,base,train
StaticCutIn_Town13_Route563_Weather9,base,train
StaticCutIn_Town13_Route564_Weather18,base,train
StaticCutIn_Town13_Route565_Weather8,base,train
StaticCutIn_Town13_Route566_Weather20,base,train
StaticCutIn_Town15_Route426_Weather10,base,train
StaticCutIn_Town15_Route427_Weather11,base,train
StaticCutIn_Town15_Route428_Weather12,base,train
StaticCutIn_Town15_Route429_Weather13,base,train
TJunction_Town01_Route90_Weather12,base,train
TJunction_Town01_Route91_Weather13,base,train
TJunction_Town02_Route97_Weather19,base,train
TJunction_Town05_Route259_Weather0,base,train
TJunction_Town05_Route260_Weather0,base,val
TJunction_Town05_Route261_Weather1,base,train
TJunction_Town06_Route304_Weather18,base,train
TJunction_Town06_Route305_Weather19,base,train
TJunction_Town06_Route306_Weather20,base,val
TJunction_Town07_Route363_Weather25,base,train
TJunction_Town07_Route364_Weather0,base,train
TJunction_Town07_Route365_Weather1,base,train
TJunction_Town12_Route1017_Weather3,base,train
TJunction_Town12_Route1018_Weather3,base,train
TJunction_Town12_Route1201_Weather5,base,train
TJunction_Town12_Route880_Weather22,base,train
TJunction_Town12_Route881_Weather23,base,train
TJunction_Town12_Route882_Weather23,base,train
TJunction_Town12_Route883_Weather25,base,train
TJunction_Town12_Route926_Weather8,base,train
TJunction_Town12_Route927_Weather9,base,train
TJunction_Town12_Route947_Weather11,base,train
TJunction_Town12_Route980_Weather18,base,train
TJunction_Town13_Route652_Weather2,base,train
TJunction_Town13_Route654_Weather3,base,train
TJunction_Town13_Route655_Weather5,base,train
TJunction_Town13_Route691_Weather15,base,train
TJunction_Town15_Route456_Weather14,base,train
TJunction_Town15_Route457_Weather15,base,train
TJunction_Town15_Route495_Weather1,base,train
TJunction_Town15_Route496_Weather2,base,train
TJunction_Town15_Route510_Weather8,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town03_Route143_Weather13,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town03_Route144_Weather14,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town03_Route145_Weather15,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town04_Route202_Weather20,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town04_Route203_Weather21,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town05_Route256_Weather22,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town05_Route257_Weather23,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town05_Route258_Weather25,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town07_Route360_Weather22,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town07_Route361_Weather23,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town07_Route362_Weather23,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route1015_Weather1,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route1016_Weather2,base,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16551_Weather18,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16552_Weather19,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16553_Weather20,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16556_Weather23,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16562_Weather3,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16563_Weather3,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16564_Weather5,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16565_Weather6,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16566_Weather7,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16567_Weather8,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16568_Weather9,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16569_Weather10,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16570_Weather11,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16572_Weather13,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16573_Weather14,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16574_Weather15,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16575_Weather8,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16576_Weather9,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16577_Weather18,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16580_Weather21,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16581_Weather22,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16582_Weather23,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16583_Weather23,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16585_Weather0,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16586_Weather1,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16588_Weather3,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16590_Weather5,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16591_Weather6,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16592_Weather7,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16593_Weather8,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16594_Weather9,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16595_Weather10,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16596_Weather11,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16597_Weather12,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16599_Weather14,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16600_Weather15,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16604_Weather19,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16605_Weather20,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16606_Weather21,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16608_Weather23,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16610_Weather25,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16611_Weather0,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16616_Weather5,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16617_Weather6,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16623_Weather12,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16625_Weather14,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16630_Weather19,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16631_Weather20,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16632_Weather21,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16633_Weather22,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16636_Weather25,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16637_Weather0,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16638_Weather1,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16639_Weather2,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16642_Weather5,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16643_Weather6,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16644_Weather7,weak,train
VanillaNonSignalizedTurnEncounterStopsign_Town12_Route16648_Weather11,weak,val
